u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,junction,width,access,tunnel
12102618387,12102618398,0,1306851597,residential,1,,,True,,False,23.387532815394874,"LINESTRING (24.0029204 54.8871679, 24.0029527 54.8871618, 24.0029867 54.8871609, 24.0030199 54.8871653, 24.0030499 54.8871746, 24.0030769 54.8871902, 24.0030945 54.8872097, 24.003101 54.8872314, 24.003096 54.8872532, 24.0030797 54.8872731, 24.0030538 54.8872893)",,roundabout,,,
12102618388,2685023864,0,204954768,residential,,,Energetikų g.,False,,False,386.39601681207455,"LINESTRING (24.0028511 54.8872426, 24.0027098 54.8872441, 24.0025795 54.8872506, 24.0020894 54.8872918, 24.0001771 54.8875045, 23.9997892 54.887545, 23.9997651 54.8887083, 23.9995317 54.8887592, 23.9995371 54.8891387)",,,,,
12102618388,12102618387,0,1306851597,residential,1,,,True,,False,10.015494960666537,"LINESTRING (24.0028511 54.8872426, 24.0028519 54.8872201, 24.0028648 54.8871988, 24.0028883 54.8871809, 24.0029204 54.8871679)",,roundabout,,,
12102618389,868404243,0,73204470,residential,,50,Ekskavatorininkų g.,False,,False,103.76347989305575,"LINESTRING (24.0029186 54.8872972, 24.0027183 54.8876329, 24.0026614 54.8877341, 24.0024909 54.8880373, 24.002409 54.8881831)",,,,,
12102618389,12102618388,0,1306851597,residential,1,,,True,,False,7.715670110127357,"LINESTRING (24.0029186 54.8872972, 24.0028861 54.8872836, 24.0028628 54.8872647, 24.0028511 54.8872426)",,roundabout,,,
12102618398,9035643462,0,"[1216800713, 1306851596, 999048588]",residential,3,50,Ekskavatorininkų g.,False,,True,175.08697780928424,"LINESTRING (24.0030538 54.8872893, 24.0036853 54.8873911, 24.0041076 54.8874632, 24.0046033 54.8875481, 24.0048345 54.8875877, 24.0054791 54.8876981, 24.0055126 54.8877038, 24.0056805 54.8877327)",,,,,
12102618398,12102618389,0,1306851597,residential,1,,,True,,False,9.1304027237961,"LINESTRING (24.0030538 54.8872893, 24.0030117 54.887302, 24.0029644 54.8873048, 24.0029186 54.8872972)",,roundabout,,,
12106211537,419563982,0,"[749085090, 749085091]",secondary,,50,Romainių g.,False,,True,33.33143687434743,"LINESTRING (23.8190977 54.9304787, 23.8193664 54.9303348, 23.8194647 54.9302664)",,,,,
12106211537,12106211554,0,1307256454,secondary,1,,,True,,False,21.5964561789212,"LINESTRING (23.8190977 54.9304787, 23.8191277 54.9305004, 23.819143 54.9305267, 23.8191418 54.9305545, 23.8191242 54.9305803, 23.8190924 54.9306012, 23.81905 54.9306145, 23.8190023 54.9306188)",,roundabout,,,
12106211541,1871647021,0,62220334,tertiary,,50,Medekšinės g.,False,,False,146.08305807057215,"LINESTRING (23.8188681 54.9305236, 23.8186641 54.9305067, 23.8176367 54.9303006, 23.8167825 54.9300942, 23.8167209 54.9300814)",,,,,
12106211541,12106211537,0,1307256454,secondary,1,,,True,,False,18.685213322624886,"LINESTRING (23.8188681 54.9305236, 23.8188855 54.9304974, 23.8189175 54.9304763, 23.8189602 54.9304628, 23.8190083 54.9304585, 23.8190561 54.9304641, 23.8190977 54.9304787)",,roundabout,,,
12106211554,888643550,0,111362251,secondary,2,50,Romainių g.,False,,False,266.3212514526291,"LINESTRING (23.8190023 54.9306188, 23.8189944 54.9306804, 23.8189666 54.9307372, 23.8187483 54.9310634, 23.8185351 54.9314017, 23.8177794 54.9329053)",,,,,
12106211554,12106211541,0,1307256454,secondary,1,,,True,,False,15.42051425078746,"LINESTRING (23.8190023 54.9306188, 23.8189549 54.9306134, 23.8189136 54.9305991, 23.8188832 54.9305775, 23.8188674 54.9305513, 23.8188681 54.9305236)",,roundabout,,,
12106211557,10217165132,0,1117148119,tertiary,1,50,9-ojo Forto g.,True,,False,30.380804340395944,"LINESTRING (23.8760438 54.9265793, 23.8759798 54.9266175, 23.8759074 54.9266876, 23.8757437 54.9267895)",,,,,
12106211557,12106211558,0,1307256457,secondary,2,50,Baltų pr.,True,,False,12.409099693735353,"LINESTRING (23.8760438 54.9265793, 23.8759803 54.926572, 23.8759213 54.9265567, 23.8758699 54.9265341)",,roundabout,,,
12106211558,12106211567,0,1307256465,secondary,2,50,Baltų pr.,True,,False,17.682449556472875,"LINESTRING (23.8758699 54.9265341, 23.875834 54.9265098, 23.875807 54.9264821, 23.8757898 54.9264519, 23.8757831 54.9264203, 23.8757872 54.9263886)",,roundabout,,,
